condition_str,subj_id,num,type,error,correctmove,latency,omit,oreas,timesincelast,direction,destination,last_distractor_offset,time_since_last_distractor
AD,HY,182.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,1027.0,1221.0,0.0,0.0
AD,HY,183.0,0.0,0.0,1.0,204.0,0.0,0.0,535.0,-491.0,730.0,0.0,0.0
AD,HY,184.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,534.0,1264.0,0.0,0.0
AD,HY,185.0,1.0,1.0,0.0,215.0,0.0,0.0,215.0,474.0,1149.0,-589.0,215.0
AD,HY,186.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-672.0,592.0,0.0,0.0
AD,HY,187.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-66.0,526.0,0.0,0.0
AD,HY,188.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,1202.0,1728.0,0.0,0.0
AD,HY,189.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-325.0,824.0,0.0,0.0
AD,HY,190.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-493.0,1235.0,0.0,0.0
AD,HY,191.0,0.0,0.0,1.0,1165.0,0.0,0.0,504.0,335.0,1570.0,0.0,0.0
AD,HY,192.0,0.0,1.0,0.0,485.0,0.0,0.0,680.0,-696.0,874.0,0.0,0.0
AD,HY,193.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,91.0,965.0,0.0,0.0
AD,HY,194.0,1.0,0.0,1.0,304.0,0.0,0.0,310.0,-176.0,648.0,-141.0,310.0
AD,HY,195.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-13.0,952.0,0.0,0.0
AD,HY,196.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-659.0,293.0,0.0,0.0
AD,HY,197.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,962.0,1255.0,0.0,0.0
AD,CD2,2.0,0.0,0.0,1.0,375.0,0.0,0.0,1520.0,-1079.0,273.0,0.0,0.0
AD,CD2,3.0,1.0,1.0,0.0,311.0,0.0,0.0,55.0,306.0,1266.0,687.0,55.0
AD,CD2,4.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,172.0,445.0,0.0,0.0
AD,CD2,5.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,427.0,872.0,0.0,0.0
AD,CD2,6.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-477.0,789.0,0.0,0.0
AD,CD2,7.0,0.0,0.0,1.0,20.0,0.0,0.0,370.0,668.0,1540.0,0.0,0.0
AD,CD2,8.0,1.0,0.0,1.0,339.0,0.0,0.0,755.0,449.0,1238.0,-751.0,755.0
AD,CD2,9.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,-680.0,860.0,0.0,0.0
AD,CD2,10.0,0.0,1.0,0.0,297.0,0.0,0.0,1075.0,847.0,1707.0,0.0,0.0
AD,CD2,11.0,1.0,0.0,-1.0,0.0,1.0,12.0,0.0,444.0,1682.0,0.0,0.0
AD,CD2,12.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-99.0,1608.0,0.0,0.0
AD,CD2,13.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-216.0,1392.0,0.0,0.0
AD,CD2,14.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,-450.0,1232.0,0.0,0.0
AD,CD2,15.0,0.0,0.0,1.0,25.0,0.0,0.0,420.0,-319.0,1073.0,0.0,0.0
AD,CD2,16.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-75.0,1157.0,0.0,0.0
AD,CD2,17.0,0.0,0.0,1.0,70.0,0.0,0.0,165.0,-729.0,344.0,0.0,0.0
AD,CD2,18.0,0.0,0.0,1.0,1945.0,1.0,15.0,835.0,-67.0,277.0,0.0,0.0
AD,CD2,19.0,0.0,0.0,1.0,770.0,1.0,15.0,1175.0,163.0,440.0,0.0,0.0
AD,CD2,20.0,0.0,0.0,-1.0,0.0,1.0,3.0,0.0,724.0,1164.0,0.0,0.0
AD,CD2,21.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-419.0,738.0,0.0,0.0
AD,CD2,22.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,406.0,1570.0,0.0,0.0
AD,CD2,23.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,42.0,1612.0,0.0,0.0
AD,CD2,24.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-245.0,493.0,0.0,0.0
AD,CD2,25.0,0.0,0.0,1.0,25.0,0.0,0.0,360.0,-343.0,1269.0,0.0,0.0
AD,CD2,26.0,0.0,0.0,1.0,0.0,1.0,16.0,550.0,66.0,1335.0,0.0,0.0
AD,CD2,27.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,97.0,590.0,0.0,0.0
AD,CD2,28.0,0.0,1.0,0.0,265.0,0.0,0.0,800.0,-1043.0,292.0,0.0,0.0
AD,CD2,29.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,269.0,859.0,0.0,0.0
AD,CD2,30.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-89.0,203.0,0.0,0.0
AD,CD2,31.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,1525.0,1728.0,0.0,0.0
AD,CD2,32.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,439.0,1298.0,0.0,0.0
AD,CD2,33.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-982.0,746.0,0.0,0.0
AD,CD2,34.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,176.0,1474.0,0.0,0.0
AD,CD2,35.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,302.0,1048.0,0.0,0.0
AD,CD2,36.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-463.0,1011.0,0.0,0.0
AD,CD2,37.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-415.0,633.0,0.0,0.0
AD,CD2,38.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,315.0,1326.0,0.0,0.0
AD,CD2,39.0,0.0,0.0,1.0,149.0,0.0,0.0,101.0,141.0,774.0,0.0,0.0
AD,CD2,40.0,1.0,0.0,1.0,271.0,0.0,0.0,1309.0,-429.0,897.0,552.0,1309.0
AD,CD2,41.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,842.0,1616.0,0.0,0.0
AD,CD2,42.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-38.0,859.0,0.0,0.0
