subj_id,latency,condition_str
LK_,465.0,AD
LK_,300.0,ND
LK_,406.0,SD
LK_,381.0,AD
LK_,325.0,ND
LK_,360.0,SD
LK_,385.0,AD
LK_,255.0,ND
LK_,380.0,SD
LK_,340.0,AD
LK_,306.0,ND
LK_,419.0,SD
LK_,480.0,AD
LK_,260.0,ND
LK_,319.0,SD
LK_,410.0,AD
LK_,260.0,ND
LK_,364.0,SD
LK_,560.0,AD
LK_,279.0,ND
LK_,320.0,SD
LK_,614.0,AD
LK_,320.0,ND
LK_,475.0,SD
LK_,255.0,AD
LK_,240.0,ND
LK_,354.0,SD
LK_,340.0,AD
LK_,139.0,ND
LK_,395.0,SD
LK_,384.0,AD
LK_,274.0,ND
LK_,345.0,SD
LK_,375.0,AD
LK_,279.0,ND
LK_,372.0,SD
LK_,444.0,AD
LK_,272.0,ND
LK_,320.0,SD
LK_,310.0,AD
LK_,245.0,ND
LK_,346.0,SD
LK_,355.0,AD
LK_,290.0,ND
LK_,349.0,SD
LK_,325.0,AD
LK_,285.0,ND
LK_,389.0,SD
LK_,366.0,AD
LK_,290.0,ND
LK_,406.0,SD
LK_,365.0,AD
LK_,279.0,ND
LK_,381.0,SD
LK_,300.0,AD
LK_,415.0,ND
LK_,351.0,SD
LK_,350.0,AD
LK_,259.0,ND
LK_,325.0,SD
LK_,345.0,AD
LK_,275.0,ND
LK_,434.0,SD
LK_,641.0,AD
LK_,305.0,ND
LK_,366.0,SD
LK_,310.0,AD
LK_,316.0,ND
LK_,406.0,SD
LK_,381.0,AD
LK_,309.0,ND
LK_,295.0,SD
LK_,381.0,AD
LK_,276.0,ND
LK_,320.0,SD
LK_,385.0,AD
LK_,259.0,ND
LK_,380.0,SD
LK_,279.0,AD
LK_,280.0,ND
LK_,419.0,SD
LK_,380.0,AD
LK_,295.0,ND
LK_,319.0,SD
LK_,351.0,AD
BG,260.0,ND
BG,294.0,SD
BG,216.0,AD
BG,299.0,ND
BG,249.0,SD
BG,290.0,AD
BG,225.0,ND
